4400000,0,0, Ayal Yogev ,20,3,0,0,2021,,
2100000,0,0, Michael Astreiko ,47,5,0,0,2021,,
200000000,0,0, Girish Mathrubootham ,4000,11,0,0,2020,,
11500000,0,0, Jack Mardack ,77,1,0,0,2021,,
26500000,0,0, Fangjin Yang ,155,6,0,0,2021,,
1200000,0,0, Chris Terrell ,13,7,0,0,2752,,
51100000,0,0, Dylan Field ,478,9,0,0,2021,,
1000000,0,0, Andrea Fossati ,11,7,0,0,2021,,
390000000,0,0, Byju Raveendran ,21000,10,0,0,2021,,
2600000,0,0, Goldwasser Neto ,117,4,0,0,2021,,
11300000,0,0, Jesper Theill Eriksen ,366,7,0,0,2021,,
16399999.999999998,0,0, Guy Bloch ,210,8,0,0,2021,,
7600000,0,0, Anil Dharni ,156,5,0,0,2021,,
10000000,0,0, Jody Glidden ,285,9,0,0,2021,,
2000000,0,0, Bao Chunjian ,24,6,0,0,2021,,
3900000,0,0, Ashish Garg ,64,8,0,0,2021,,
1400000,0,0, Gene Fay ,30,7,0,0,2021,,
390000,0,0, Karuna Govind ,9,2,0,0,2021,,
742300,0,0, Alexandre Louisy ,36,3,0,2000000000,2021,,
4700000,0,0, Amir Elichair ,113,7,0,0,2021,,
52700000,0,0, David Ebersman ,770,6,0,0,2021,,
4300000,0,0, Daniel Walker ,51,8,0,0,2021,,
3300000,0,0, Blake Walker ,46,4,0,0,2021,,
5900000,0,0, Arup Banerjee ,50,5,0,0,2021,,
1700000,0,0, Kevin Campbell ,18,6,0,0,2021,,
11700000,0,0, Ronen Yehoshua ,126,7,0,0,2021,,
9400000,0,0, Christopher Plantener ,87,5,0,0,2021,,
16000000,0,0, Mathew Elenjickal ,519,8,0,0,2021,,
11400000,0,0, Tasso Argyros ,129,7,0,0,2021,,
63600000,0,0, Taylor Justice ,565,8,0,0,2021,,
69500000,0,0, Oscar Hoglund ,505,12,0,0,2021,,
11400000,0,0, Anand Adya ,135,17,0,0,2021,,
36200000,0,0, Dror Davidoff ,345,6,0,0,2021,,
42100000,0,0, Sachin Nayyar ,543,14,0,0,2021,,
4000000,0,0, Sorabh Bhandari ,57,3,0,0,2021,,
